Fips,Name,Temp,Rank,Past Mean,,,,,,
8099,Brevard County,81,113,79.3,,,,,,
8101,Broward County,81.8,110,80,,,,,,
8103,Calhoun County,80.2,89,79.3,,,,,,
8105,Charlotte County,81.8,110,80.3,,,,,,
8107,Citrus County,82.1,123,79.5,,,,,,
8109,Clay County,80.9,112,78.9,,,,,,
8111,Collier County,81.5,98,80.4,,,,,,
8113,Columbia County,80.2,99,79,,,,,,
8115,DeSoto County,81.4,114,79.8,,,,,,
8117,Dixie County,80.5,102,79.1,,,,,,
8119,Duval County,80.8,113,78.9,,,,,,
8121,Escambia County,79.7,68,79.6,,,,,,
8123,Flagler County,80.8,113,79,,,,,,
8125,Franklin County,79.9,82,79.3,,,,,,
9001,Gadsden County,79.7,74,79.1,,,,,,
9003,Gilchrist County,80.6,110,79,,,,,,
9005,Glades County,81.7,114,79.8,,,,,,
9007,Gulf County,79.9,89,78.9,,,,,,
9009,Hamilton County,79.9,92,79,,,,,,
9011,Hardee County,81.7,117,79.6,,,,,,
9013,Hendry County,81.4,107,79.9,,,,,,
9015,Hernando County,82,123,79.3,,,,,,
10001,Highlands County,81.7,117,79.6,,,,,,
10003,Hillsborough County,82.4,123,79.8,,,,,,
10005,Holmes County,79.8,68,79.5,,,,,,
11001,Indian River County,80.6,113,78.9,,,,,,
12001,Jackson County,80.2,71,79.9,,,,,,
12003,Jefferson County,80,89,79.1,,,,,,
12005,Lafayette County,80.1,94,79,,,,,,
12007,Lake County,81.8,119,79.5,,,,,,
12009,Lee County,81.9,105,80.5,,,,,,
12011,Leon County,79.9,83,79.2,,,,,,
12013,Levy County,81.5,117,79.1,,,,,,
12015,Liberty County,79.9,89,79,,,,,,
12017,Madison County,79.8,89,78.9,,,,,,
12019,Manatee County,81.8,119,79.7,,,,,,
12021,Marion County,81.3,114,79.4,,,,,,
12023,Martin County,81.8,117,79.5,,,,,,
12027,Miami-Dade County,81.9,111,80.1,,,,,,
12029,Monroe County,82.3,108,80.8,,,,,,
12031,Nassau County,80.2,104,78.7,,,,,,
12033,Okaloosa County,79.8,76,79.3,,,,,,
12035,Okeechobee County,81.4,118,79.4,,,,,,
12037,Orange County,82,116,80,,,,,,
12039,Osceola County,81.8,118,79.8,,,,,,
12041,Palm Beach County,82,118,79.7,,,,,,
12043,Pasco County,82.1,124,79.3,,,,,,
12045,Pinellas County,82.7,117,80.6,,,,,,
12047,Polk County,82.4,121,79.9,,,,,,
12049,Putnam County,81.1,112,79.3,,,,,,
12051,St. Johns County,80.9,114,78.8,,,,,,
12053,St. Lucie County,81,113,79.3,,,,,,
12055,Santa Rosa County,79.3,50,79.6,,,,,,
12057,Sarasota County,81.6,110,80.1,,,,,,
12059,Seminole County,81.7,112,80,,,,,,
12061,Sumter County,81.8,122,79.3,,,,,,
12063,Suwannee County,80.1,92,79,,,,,,
12065,Taylor County,80.2,90,79.3,,,,,,
12067,Union County,80.4,105,79,,,,,,
12069,Volusia County,81.1,110,79.4,,,,,,
12071,Wakulla County,80.2,84,79.4,,,,,,
12073,Walton County,79.7,75,79.2,,,,,,
12075,Washington County,80.1,74,79.5,,,,,,
12077,Appling County,79.5,74,79,,,,,,
12079,Atkinson County,79.5,78,78.9,,,,,,
12081,Bacon County,79.8,85,79,,,,,,
12083,Baker County,80.2,83,79.4,,,,,,
12085,Baldwin County,77.3,40,78.2,,,,,,
12086,Banks County,74.8,41,75.6,,,,,,
12087,Barrow County,75.3,48,75.9,,,,,,
12089,Bartow County,74.2,24,75.8,,,,,,
12091,Ben Hill County,79.1,70,78.7,,,,,,
12093,Berrien County,79.1,72,78.7,,,,,,
12095,Bibb County,77.8,48,78.1,,,,,,
12097,Bleckley County,78.7,57,78.8,,,,,,
12099,Brantley County,79.2,84,78.3,,,,,,
12101,Brooks County,79.4,86,78.6,,,,,,
12103,Bryan County,78.8,47,79.1,,,,,,
12105,Bulloch County,78.4,49,78.6,,,,,,
12107,Burke County,78.1,67,77.7,,,,,,
12109,Butts County,76.6,51,76.8,,,,,,
12111,Calhoun County,79.6,75,79.1,,,,,,
12113,Camden County,79.8,95,78.7,,,,,,
12115,Candler County,78.5,53,78.8,,,,,,
12117,Carroll County,74.1,40,74.7,,,,,,
12119,Catoosa County,74.9,49,75.2,,,,,,
12121,Charlton County,79.8,97,78.6,,,,,,
12123,Chatham County,79.1,61,79,,,,,,
12125,Chattahoochee County,76.9,25,78.3,,,,,,
12127,Chattooga County,73.3,15,75.6,,,,,,
12129,Cherokee County,73.5,29,75,,,,,,
12131,Clarke County,76,49,76.3,,,,,,
12133,Clay County,78.6,53,79,,,,,,
13001,Clayton County,76.1,51,76.3,,,,,,
13003,Clinch County,79.6,84,78.8,,,,,,
13005,Cobb County,74.9,42,75.6,,,,,,
13007,Coffee County,79.4,77,78.8,,,,,,
13009,Colquitt County,79.3,83,78.4,,,,,,
